name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Baltimore, MD, United States",2024-01-01,44.3,37.6,40.8,42.1,33.5,37.7,34.5,78.4,0.011,100,8.33,rain,0,0,18.3,10.3,306.5,1017.2,95.7,9.9,31.9,2.9,3,10,2024-01-01T07:26:18,2024-01-01T16:53:39,0.68,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-02,44.9,33.2,39.2,39,27.2,34.1,27.9,64.6,0,0,0,,0,0,20.8,13.1,301.3,1019.9,49.8,9.9,93.6,8.1,5,10,2024-01-02T07:26:26,2024-01-02T16:54:29,0.72,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-03,46.4,29.2,37.4,45.1,25.8,35.7,27.4,68.2,0,0,0,,0,0,13,6.4,238.5,1018,56.7,9.9,114.3,9.8,5,10,2024-01-03T07:26:31,2024-01-03T16:55:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-04,44.8,31.4,38.7,39,23.9,34.2,25.9,60.5,0,0,0,,0,0,27.1,18.4,305.9,1018.4,69.7,9.9,46.6,3.9,2,10,2024-01-04T07:26:35,2024-01-04T16:56:12,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-05,41,24.7,31.7,41,19,29.3,19.1,60.5,0,0,0,,0,0,18.3,6.2,281.1,1026.7,23.5,9.9,115.6,10,5,10,2024-01-05T07:26:36,2024-01-05T16:57:05,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-06,39,27.8,34.6,32.6,26.2,30.1,30.9,86.3,0.773,100,45.83,rain,0.3,0,29.9,16.7,34.4,1014,89.3,6.8,12.8,1.1,1,10,2024-01-06T07:26:35,2024-01-06T16:58:00,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-07,48.6,35.5,41.2,42.6,28.6,35.4,33.2,74.4,0,0,0,,0,0,35.6,21.8,278,1008.3,79.9,8.8,91.9,7.9,6,10,2024-01-07T07:26:31,2024-01-07T16:58:56,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-08,49.5,32.3,41.3,47.1,30.8,37.5,28.2,60.9,0,0,0,,0,0,21,12.5,296.8,1027.7,33.5,9.9,120.1,10.3,5,10,2024-01-08T07:26:26,2024-01-08T16:59:54,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-09,57.6,33.4,45.8,57.6,31.7,42.5,42.6,88.7,1.648,100,54.17,rain,0,0,43.1,24.2,116.6,1011.4,91.1,6.2,5.7,0.5,0,10,2024-01-09T07:26:18,2024-01-09T17:00:52,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
"Baltimore, MD, United States",2024-01-10,58.6,43.1,49.1,58.6,38,45.5,33.3,55.6,0.014,100,8.33,rain,0,0,44.8,21.9,254.2,996.8,81.7,9.9,79.5,7,5,10,2024-01-10T07:26:09,2024-01-10T17:01:52,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"C1550,99999913752,72406093721,KBWI,72406793744,KMTN"
